"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"industrial", "rsdecoder6.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147645"
"industrial", "rsdecoder_fsm2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147797"
"industrial", "SM_AS_TOP_buggy1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "107483"
"industrial", "SM_AS_TOP_buggy1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "107518"
"industrial", "rsdecoder_fsm2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "147366"
"industrial", "SM_RX_TOP.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "149339"
"industrial", "SM_RX_TOP.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "148503"
"industrial", "wb1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29624"
"industrial", "wb1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29407"
"industrial", "SM_AS_TOP_buggy1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "107491"
"industrial", "wb2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29487"
"industrial", "wb2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29547"
"industrial", "SM_RX_TOP.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "148553"
"industrial", "wb_conmax1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181619"
"industrial", "wb1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29544"
"industrial", "wb_conmax1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181619"
"industrial", "wb2.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "29544"
"industrial", "wb_conmax3.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181571"
"industrial", "wb_conmax3.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181442"
"industrial", "wb_conmax1.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181780"
"industrial", "wb-debug.dimacs.cnf", "ring", "3", "20", "1", "1.7", "2.3", "128195"
"industrial", "wb-debug.dimacs.cnf", "ring", "3", "20", "1", "1.7", "2.3", "128464"
"industrial", "wb-problem.dimacs_45.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "168288"
"industrial", "wb-problem.dimacs_45.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "168732"
"industrial", "wb_conmax3.dimacs.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "181760"
"industrial", "wb-debug.dimacs.cnf", "ring", "3", "20", "1", "1.7", "2.3", "128603"
"industrial", "wb-problem.dimacs_46.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "164401"
"industrial", "wb-problem.dimacs_46.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "164192"
"random", "s3v70c800-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"industrial", "wb-problem.dimacs_45.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "168266"
"random", "s3v70c800-10.cnf", "ring", "3", "20", "1", "1.7", "2.3", "63"
"random", "s3v70c800-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "57"
"random", "s3v70c800-1.cnf", "ring", "3", "20", "1", "1.7", "2.3", "59"
"random", "s3v70c800-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "61"
"random", "s3v70c800-2.cnf", "ring", "3", "20", "1", "1.7", "2.3", "62"
"random", "s3v70c800-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "64"
"random", "s3v70c800-3.cnf", "ring", "3", "20", "1", "1.7", "2.3", "62"
"random", "s3v70c800-4.cnf", "ring", "3", "20", "1", "1.7", "2.3", "62"
"industrial", "wb-problem.dimacs_46.filtered.cnf", "ring", "3", "20", "1", "1.7", "2.3", "163921"
