"category","problem","MH","avg_fit","Opt"
"crafted","brock200_4.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",215.93333333333334,"209"
"crafted","brock200_4.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",225.06666666666666,"209"
"crafted","brock400_1.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",277.2,"255"
"crafted","brock400_1.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",280.1333333333333,"255"
"crafted","brock400_1.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",259.3333333333333,"255"
"crafted","brock400_1.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",259.1333333333333,"255"
"crafted","brock400_1.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",266.4,"255"
"crafted","brock400_1.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",278.06666666666666,"255"
"crafted","brock400_1.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",271.26666666666665,"255"
"crafted","brock400_1.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",259.8,"255"
"crafted","brock400_1.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",266,"255"
"crafted","brock400_1.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",262.1333333333333,"255"
"crafted","brock400_1.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",261.4,"255"
"crafted","brock400_1.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",268.2,"255"
"crafted","brock400_1.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",262.2,"255"
